label,distance,code,depth,x,y,z,top,base,lithology,sandmedianclass
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,0.0,0.2,K,
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,0.2,0.5,V,
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,0.5,0.9,V,
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,0.9,1.6,V,
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,1.6,1.65,V,
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,1.65,1.8,Z,ZZF
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,1.8,2.05,Z,ZZF
P,299.3591259150602,BHR000000336289,3.0,178000.0,561319.94,3.0,2.05,3.0,Z,ZZF
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,0.26,0.78,Z,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,0.78,1.26,V,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,1.26,1.56,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,1.56,2.6,V,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,2.6,3.32,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,3.32,3.96,V,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,3.96,4.18,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,4.18,4.94,Z,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,4.94,5.3,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,5.3,5.5,Z,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,5.5,5.76,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,5.76,6.36,Z,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,6.36,6.62,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,6.62,7.1,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,7.1,7.32,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,7.32,7.72,K,
P,576.2734116179366,CPT000000057312,8.6,177713.78,561418.66,3.4,7.72,8.6,Z,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,0.0,0.25,K,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,0.25,0.5,V,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,0.5,0.95,V,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,0.95,1.45,V,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,1.45,2.0,V,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,2.0,2.1,V,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,2.1,2.4,K,
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,2.4,2.5,Z,ZZF
P,785.1436342318565,BHR000000336295,3.0,177690.01,561700.02,3.0,2.5,3.0,Z,ZZF
