code,depth,x,y,z,format,source,top,base,lithology,sandmedianclass,sandmedian,graveladmix,sandadmix,siltadmix,clayadmix,humusadmix
B34F0134,12.0,252910.0,464590.0,29.900000000000002,XML Borehole,B34F0134_1.4.xml,0.0,1.5,GM,,,,,,,
B34F0134,12.0,252910.0,464590.0,29.900000000000002,XML Borehole,B34F0134_1.4.xml,1.5,10.0,L,,,,,,,
B34F0134,12.0,252910.0,464590.0,29.900000000000002,XML Borehole,B34F0134_1.4.xml,10.0,12.0,Z,,,,,,KX,
B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,0.0,3.2,Z,ZMG,,GX,,,,
B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,3.2,7.0,Z,ZFC,,,,,KX,
B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,7.0,8.0,Z,ZGC,,GX,,,,
B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,8.0,27.5,K,,,,ZX,,,
B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,0.0,1.0,GM,,,,,,,
B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,1.0,7.5,Z,ZMG,,,,,,
B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,7.5,20.900000000000002,K,,,,ZX,,,
B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,20.900000000000002,24.0,KAS,,,,,,,
B34F0141,16.0,256545.0,464535.0,39.2,XML Borehole,B34F0141_1.4.xml,0.0,0.5,GM,,,,,,,
B34F0141,16.0,256545.0,464535.0,39.2,XML Borehole,B34F0141_1.4.xml,0.5,3.0,Z,ZMG,,,,,,
B34F0141,16.0,256545.0,464535.0,39.2,XML Borehole,B34F0141_1.4.xml,3.0,14.5,L,,,,,,,
B34F0141,16.0,256545.0,464535.0,39.2,XML Borehole,B34F0141_1.4.xml,14.5,16.0,K,,,,,S1,,
B34F0143,10.0,257865.0,465410.0,41.6,XML Borehole,B34F0143_1.4.xml,0.0,1.2,GM,,,,,,,
B34F0143,10.0,257865.0,465410.0,41.6,XML Borehole,B34F0143_1.4.xml,1.2,4.0,L,,,,,,,
B34F0143,10.0,257865.0,465410.0,41.6,XML Borehole,B34F0143_1.4.xml,4.0,10.0,Z,ZMG,,GX,,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,0.0,0.6,GM,,,,,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,0.6,3.1,Z,ZMG,,,,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,3.1,5.0,L,,,,,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,5.0,6.0,Z,ZGC,,,,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,6.0,9.5,K,,,,ZX,,,
B34F0144,15.0,257155.0,465630.0,39.0,XML Borehole,B34F0144_1.4.xml,9.5,15.0,KAS,,,,,,,
B34F0145,22.900000000000002,257200.0,464955.0,40.0,XML Borehole,B34F0145_1.4.xml,0.0,2.5,Z,ZMG,,,,,,
B34F0145,22.900000000000002,257200.0,464955.0,40.0,XML Borehole,B34F0145_1.4.xml,2.5,6.0,L,,,,,,,
B34F0145,22.900000000000002,257200.0,464955.0,40.0,XML Borehole,B34F0145_1.4.xml,6.0,9.0,Z,ZMG,,GX,,,,
B34F0145,22.900000000000002,257200.0,464955.0,40.0,XML Borehole,B34F0145_1.4.xml,9.0,22.900000000000002,K,,,,ZX,,,
B34F0146,15.0,256815.0,465360.0,40.5,XML Borehole,B34F0146_1.4.xml,0.0,0.5,GM,,,,,,,
B34F0146,15.0,256815.0,465360.0,40.5,XML Borehole,B34F0146_1.4.xml,0.5,7.0,L,,,,,,,
B34F0146,15.0,256815.0,465360.0,40.5,XML Borehole,B34F0146_1.4.xml,7.0,9.200000000000001,Z,ZMG,,,,,,
B34F0146,15.0,256815.0,465360.0,40.5,XML Borehole,B34F0146_1.4.xml,9.200000000000001,13.0,K,,,,ZX,,,
B34F0146,15.0,256815.0,465360.0,40.5,XML Borehole,B34F0146_1.4.xml,13.0,15.0,KAS,,,,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,0.0,1.0,GM,,,,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,1.0,3.0,L,,,,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,3.0,5.5,Z,ZMG,,,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,5.5,7.5,Z,ZGC,,GX,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,7.5,10.700000000000001,Z,ZMG,,,,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,10.700000000000001,17.0,K,,,,ZX,,,
B34F0147,18.8,256330.0,465180.0,38.0,XML Borehole,B34F0147_1.4.xml,17.0,18.8,KAS,,,,,,,
B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,0.0,1.3,GM,,,,,,,
B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,1.3,7.0,Z,ZMG,,GX,,,,
B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,7.0,27.5,K,,,,ZX,,,
B34F0149,24.5,255650.0,465425.0,36.0,XML Borehole,B34F0149_1.4.xml,0.0,1.0,GM,,,,,,,
