label,distance,code,depth,x,y,z,format,source,top,base,lithology,sandmedianclass,sandmedian,graveladmix,sandadmix,siltadmix,clayadmix,humusadmix
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,0.0,3.6,Z,,,,,,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,3.6,6.0,L,,,,,,,H2
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,6.0,6.8,Z,ZZG,,G3,,,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,6.8,8.5,L,,,,Z1,,,H1
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,8.5,9.0,Z,ZZG,380.0,GX,,,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,9.0,12.0,L,,,,Z1,S1,,H2
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,12.0,13.0,Z,ZZG,,GX,,,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,13.0,21.0,L,,,,Z1,S1,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,21.0,22.0,Z,ZZF,,,,,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,22.0,23.0,K,,,,,S3,,
A,78.18208486967376,B34F0452,30.0,254000.0,465800.0,31.0,XML Borehole,B34F0452_1.4.xml,23.0,30.0,L,,,,Z1,S1,,
A,292.56650602070806,B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,0.0,3.2,Z,ZMG,,GX,,,,
A,292.56650602070806,B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,3.2,7.0,Z,ZFC,,,,,KX,
A,292.56650602070806,B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,7.0,8.0,Z,ZGC,,GX,,,,
A,292.56650602070806,B34F0135,27.5,255200.0,464500.0,33.6,XML Borehole,B34F0135_1.4.xml,8.0,27.5,K,,,,ZX,,,
A,778.4882304951084,B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,0.0,1.3,GM,,,,,,,
A,778.4882304951084,B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,1.3,7.0,Z,ZMG,,GX,,,,
A,778.4882304951084,B34F0148,27.5,255410.0,465040.0,35.0,XML Borehole,B34F0148_1.4.xml,7.0,27.5,K,,,,ZX,,,
A,969.2341413550503,B34F0325,9.0,254630.0,466450.0,32.8,XML Borehole,B34F0325_1.4.xml,0.0,0.4,Z,,,,,,,
A,969.2341413550503,B34F0325,9.0,254630.0,466450.0,32.8,XML Borehole,B34F0325_1.4.xml,0.4,4.5,Z,ZFC,,,,,,
A,969.2341413550503,B34F0325,9.0,254630.0,466450.0,32.8,XML Borehole,B34F0325_1.4.xml,4.5,6.6000000000000005,L,,,,,,,
A,969.2341413550503,B34F0325,9.0,254630.0,466450.0,32.8,XML Borehole,B34F0325_1.4.xml,6.6000000000000005,8.0,Z,ZFC,,,,SX,,HX
A,969.2341413550503,B34F0325,9.0,254630.0,466450.0,32.8,XML Borehole,B34F0325_1.4.xml,8.0,9.0,G,,,,Z1,SX,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,0.0,0.75,Z,ZMC,,,,,,H3
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,0.75,1.3,V,,,,,,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,1.3,3.5,Z,ZFC,,,,S3,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,3.5,4.8,Z,ZMC,,,,,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,4.8,6.5,Z,ZFC,,G1,,,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,6.5,7.0,Z,,,G2,,,,
A,997.1505619884018,B34F0768,7.3500000000000005,254650.0,466470.0,34.300000000000004,XML Borehole,B34F0768_1.4.xml,7.0,7.3500000000000005,L,,,G1,Z1,,,
A,1044.867596205817,B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,0.0,1.0,GM,,,,,,,
A,1044.867596205817,B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,1.0,7.5,Z,ZMG,,,,,,
A,1044.867596205817,B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,7.5,20.900000000000002,K,,,,ZX,,,
A,1044.867596205817,B34F0140,24.0,255875.0,464850.0,36.5,XML Borehole,B34F0140_1.4.xml,20.900000000000002,24.0,KAS,,,,,,,
A,1198.2001254726315,B34F0149,24.5,255650.0,465425.0,36.0,XML Borehole,B34F0149_1.4.xml,0.0,1.0,GM,,,,,,,
A,1198.2001254726315,B34F0149,24.5,255650.0,465425.0,36.0,XML Borehole,B34F0149_1.4.xml,1.0,8.8,Z,,,,,,K1,
A,1198.2001254726315,B34F0149,24.5,255650.0,465425.0,36.0,XML Borehole,B34F0149_1.4.xml,8.8,24.0,K,,,,ZX,,,
A,1198.2001254726315,B34F0149,24.5,255650.0,465425.0,36.0,XML Borehole,B34F0149_1.4.xml,24.0,24.5,KAS,,,,,,,
A,1318.262734877807,B34F0453,25.7,255420.0,465950.0,33.6,XML Borehole,B34F0453_1.4.xml,0.0,2.8000000000000003,Z,,,,,,,
